num_expediente,dia_hora,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona
2021S022284,2021-11-25 20:00:00,6.0,TETUÁN,Colisión lateral,Despejado,Ciclomotor,Conductor
2021S022284,2021-11-25 20:00:00,6.0,TETUÁN,Colisión lateral,Despejado,Turismo,Conductor
2021S022284,2021-11-25 20:00:00,6.0,TETUÁN,Colisión lateral,Despejado,Turismo,Conductor
2021S022284,2021-11-25 20:00:00,6.0,TETUÁN,Colisión lateral,Despejado,Turismo,Pasajero
2021S022285,2021-11-25 19:00:00,18.0,VILLA DE VALLECAS,Atropello a persona,Despejado,Turismo,Conductor
2021S022285,2021-11-25 19:00:00,18.0,VILLA DE VALLECAS,Atropello a persona,Despejado,Turismo,Peatón
2021S022286,2021-11-25 18:00:00,18.0,VILLA DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022286,2021-11-25 18:00:00,18.0,VILLA DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022287,2021-11-25 20:00:00,17.0,VILLAVERDE,Otro,Despejado,Turismo,Conductor
2021S022288,2021-11-25 19:00:00,13.0,PUENTE DE VALLECAS,Colisión múltiple,Despejado,Furgoneta,Conductor
2021S022288,2021-11-25 19:00:00,13.0,PUENTE DE VALLECAS,Colisión múltiple,Despejado,Furgoneta,Conductor
2021S022288,2021-11-25 19:00:00,13.0,PUENTE DE VALLECAS,Colisión múltiple,Despejado,Turismo,Conductor
2021S022289,2021-11-25 16:00:00,3.0,RETIRO,Alcance,Despejado,Furgoneta,Conductor
2021S022289,2021-11-25 16:00:00,3.0,RETIRO,Alcance,Despejado,Turismo,Conductor
2021S022290,2021-11-25 20:00:00,3.0,RETIRO,Alcance,Despejado,Turismo,Conductor
2021S022290,2021-11-25 20:00:00,3.0,RETIRO,Alcance,Despejado,Turismo,Conductor
2021S022290,2021-11-25 20:00:00,3.0,RETIRO,Alcance,Despejado,Turismo,Pasajero
2021S022291,2021-11-25 20:00:00,11.0,CARABANCHEL,Otro,Despejado,Turismo,Conductor
2021S022291,2021-11-25 20:00:00,11.0,CARABANCHEL,Otro,Despejado,Turismo,Pasajero
2021S022292,2021-11-25 18:00:00,9.0,MONCLOA-ARAVACA,Colisión lateral,Despejado,Turismo,Conductor
2021S022292,2021-11-25 18:00:00,9.0,MONCLOA-ARAVACA,Colisión lateral,Despejado,Turismo,Conductor
2021S022293,2021-11-25 17:00:00,15.0,CIUDAD LINEAL,Alcance,Nublado,Turismo,Conductor
2021S022293,2021-11-25 17:00:00,15.0,CIUDAD LINEAL,Alcance,Nublado,Turismo,Conductor
2021S022293,2021-11-25 17:00:00,15.0,CIUDAD LINEAL,Alcance,Nublado,Turismo,Pasajero
2021S022294,2021-11-25 19:00:00,21.0,BARAJAS,Caída,Despejado,Motocicleta hasta 125cc,Conductor
2021S022295,2021-11-25 16:00:00,4.0,SALAMANCA,Colisión lateral,Despejado,Motocicleta hasta 125cc,Conductor
2021S022295,2021-11-25 16:00:00,4.0,SALAMANCA,Colisión lateral,Despejado,Turismo,Conductor
2021S022296,2021-11-25 21:00:00,3.0,RETIRO,Alcance,Despejado,Turismo,Conductor
2021S022296,2021-11-25 21:00:00,3.0,RETIRO,Alcance,Despejado,Turismo,Conductor
2021S022297,2021-11-25 21:00:00,13.0,PUENTE DE VALLECAS,Alcance,Despejado,Turismo,Conductor
2021S022297,2021-11-25 21:00:00,13.0,PUENTE DE VALLECAS,Alcance,Despejado,Turismo,Conductor
2021S022298,2021-11-24 06:00:00,15.0,CIUDAD LINEAL,Caída,Lluvia débil,Motocicleta > 125cc,Conductor
2021S022299,2021-11-25 22:00:00,4.0,SALAMANCA,Atropello a persona,Despejado,Motocicleta hasta 125cc,Conductor
2021S022299,2021-11-25 22:00:00,4.0,SALAMANCA,Atropello a persona,Despejado,Motocicleta hasta 125cc,Peatón
2021S022300,2021-11-25 21:00:00,16.0,HORTALEZA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022300,2021-11-25 21:00:00,16.0,HORTALEZA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022300,2021-11-25 21:00:00,16.0,HORTALEZA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022301,2021-11-25 22:00:00,3.0,RETIRO,Caída,Despejado,VMU eléctrico,Conductor
2021S022302,2021-11-25 23:00:00,14.0,MORATALAZ,Caída,Despejado,Motocicleta hasta 125cc,Conductor
2021S022303,2021-11-26 06:00:00,6.0,TETUÁN,Colisión múltiple,Despejado,Turismo,Conductor
2021S022303,2021-11-26 06:00:00,6.0,TETUÁN,Colisión múltiple,Despejado,Turismo,Conductor
2021S022303,2021-11-26 06:00:00,6.0,TETUÁN,Colisión múltiple,Despejado,Turismo,Conductor
2021S022303,2021-11-26 06:00:00,6.0,TETUÁN,Colisión múltiple,Despejado,Turismo,Pasajero
2021S022304,2021-11-25 22:00:00,18.0,VILLA DE VALLECAS,Choque contra obstáculo fijo,Despejado,Sin especificar,Conductor
2021S022304,2021-11-25 22:00:00,18.0,VILLA DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022304,2021-11-25 22:00:00,18.0,VILLA DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022304,2021-11-25 22:00:00,18.0,VILLA DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022305,2021-11-25 23:00:00,11.0,CARABANCHEL,Alcance,Despejado,Motocicleta > 125cc,Conductor
2021S022305,2021-11-25 23:00:00,11.0,CARABANCHEL,Alcance,Despejado,Turismo,Conductor
2021S022307,2021-11-26 02:00:00,3.0,RETIRO,Choque contra obstáculo fijo,Despejado,Ciclomotor,Conductor
2021S022308,2021-11-26 02:00:00,2.0,ARGANZUELA,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022308,2021-11-26 02:00:00,2.0,ARGANZUELA,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022308,2021-11-26 02:00:00,2.0,ARGANZUELA,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2021S022308,2021-11-26 02:00:00,2.0,ARGANZUELA,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2021S022311,2021-11-26 05:00:00,11.0,CARABANCHEL,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022311,2021-11-26 05:00:00,11.0,CARABANCHEL,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero
2021S022311,2021-11-26 05:00:00,11.0,CARABANCHEL,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero
2021S022312,2021-11-25 11:00:00,2.0,ARGANZUELA,Colisión lateral,Despejado,Motocicleta > 125cc,Conductor
2021S022312,2021-11-25 11:00:00,2.0,ARGANZUELA,Colisión lateral,Despejado,Turismo,Conductor
2021S022312,2021-11-25 11:00:00,2.0,ARGANZUELA,Colisión lateral,Despejado,Turismo,Pasajero
2021S022313,2021-11-24 10:00:00,2.0,ARGANZUELA,Caída,Despejado,Motocicleta hasta 125cc,Conductor
2021S022313,2021-11-24 10:00:00,2.0,ARGANZUELA,Caída,Despejado,Turismo,Conductor
2021S022314,2021-11-26 06:00:00,4.0,SALAMANCA,Caída,Despejado,,Conductor
2021S022316,2021-11-26 05:00:00,5.0,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022317,2021-11-25 14:00:00,6.0,TETUÁN,Colisión fronto-lateral,Despejado,Furgoneta,Conductor
2021S022317,2021-11-25 14:00:00,6.0,TETUÁN,Colisión fronto-lateral,Despejado,Motocicleta > 125cc,Conductor
2021S022317,2021-11-25 14:00:00,6.0,TETUÁN,Colisión fronto-lateral,Despejado,Motocicleta > 125cc,Pasajero
2021S022318,2021-11-25 07:00:00,8.0,FUENCARRAL-EL PARDO,Atropello a persona,Despejado,Turismo,Conductor
2021S022318,2021-11-25 07:00:00,8.0,FUENCARRAL-EL PARDO,Atropello a persona,Despejado,Turismo,Peatón
