num_expediente,dia_hora,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona
2021S022384,2021-11-27 00:00:00,9.0,MONCLOA-ARAVACA,Solo salida de la vía,Despejado,Motocicleta hasta 125cc,Conductor
2021S022386,2021-11-26 22:00:00,5.0,CHAMARTÍN,Atropello a persona,Despejado,Turismo,Conductor
2021S022386,2021-11-26 22:00:00,5.0,CHAMARTÍN,Atropello a persona,Despejado,Turismo,Pasajero
2021S022386,2021-11-26 22:00:00,5.0,CHAMARTÍN,Atropello a persona,Despejado,Turismo,Peatón
2021S022390,2021-11-27 00:00:00,14.0,MORATALAZ,Colisión lateral,Despejado,Turismo,Conductor
2021S022390,2021-11-27 00:00:00,14.0,MORATALAZ,Colisión lateral,Despejado,Turismo,Conductor
2021S022390,2021-11-27 00:00:00,14.0,MORATALAZ,Colisión lateral,Despejado,Turismo,Pasajero
2021S022390,2021-11-27 00:00:00,14.0,MORATALAZ,Colisión lateral,Despejado,Turismo,Pasajero
2021S022390,2021-11-27 00:00:00,14.0,MORATALAZ,Colisión lateral,Despejado,Turismo,Pasajero
2021S022394,2021-11-27 03:00:00,1.0,CENTRO,Caída,Despejado,Motocicleta hasta 125cc,Conductor
2021S022401,2021-11-26 23:00:00,6.0,TETUÁN,Colisión lateral,Nublado,Bicicleta,Conductor
2021S022401,2021-11-26 23:00:00,6.0,TETUÁN,Colisión lateral,Nublado,Turismo,Conductor
2021S022401,2021-11-26 23:00:00,6.0,TETUÁN,Colisión lateral,Nublado,Turismo,Pasajero
2021S022402,2021-11-27 02:00:00,1.0,CENTRO,,Despejado,Turismo,Conductor
2021S022402,2021-11-27 02:00:00,1.0,CENTRO,,Despejado,Turismo,Pasajero
2021S022402,2021-11-27 02:00:00,1.0,CENTRO,,Despejado,VMU eléctrico,Conductor
2021S022405,2021-11-27 02:00:00,1.0,CENTRO,Choque contra obstáculo fijo,Despejado,Otros vehículos con motor,Conductor
2021S022409,2021-11-27 02:00:00,4.0,SALAMANCA,Alcance,Despejado,Motocicleta hasta 125cc,Conductor
